,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,90,37,127,51,18,5,41,7,21,113
192608,90,37,127,51,18,5,41,7,21,113
192609,90,37,127,50,18,5,41,7,21,113
192610,90,37,127,50,18,5,41,7,21,113
192611,90,37,127,50,18,5,41,7,21,113
192612,89,37,127,50,18,5,41,7,21,112
192701,89,37,127,49,18,5,41,7,21,112
192702,87,37,127,49,18,5,41,7,21,111
192703,87,37,127,49,18,5,41,7,21,111
192704,87,37,127,49,18,4,41,7,21,110
192705,87,37,127,49,18,4,41,7,21,110
192706,87,37,126,49,18,4,41,7,21,110
192707,98,43,129,55,19,5,46,7,23,122
192708,98,43,128,55,19,5,46,7,23,122
192709,98,43,128,55,19,5,46,7,23,122
192710,98,43,128,55,19,5,46,7,23,122
192711,97,43,126,55,18,5,46,7,23,122
192712,97,43,126,55,18,5,46,7,23,122
192801,96,43,126,55,18,5,46,7,23,122
192802,96,43,126,55,18,5,46,7,23,122
192803,96,43,125,55,18,5,46,6,22,122
192804,96,43,125,55,18,5,46,6,22,122
192805,96,43,125,55,18,4,46,6,22,122
192806,96,43,125,55,18,4,45,6,22,122
192807,105,45,139,56,19,4,51,6,23,122
192808,105,44,139,56,19,4,51,6,23,122
192809,105,44,139,56,19,4,51,6,23,122
192810,105,44,139,56,19,4,51,6,23,121
192811,105,44,139,56,19,4,51,6,23,121
192812,104,44,139,56,19,4,51,6,23,121
192901,103,43,139,56,19,4,51,5,23,120
192902,103,43,139,56,19,4,51,5,23,120
192903,103,43,139,56,18,4,51,5,23,120
192904,103,43,139,56,18,4,51,5,23,120
192905,102,43,139,56,18,4,51,5,22,120
192906,101,43,139,56,18,4,51,5,22,119
192907,122,50,169,61,20,4,60,6,23,132
192908,122,50,168,61,20,4,60,6,23,132
192909,122,50,168,61,20,4,60,6,23,131
192910,121,50,168,60,20,4,60,6,22,130
192911,121,50,168,60,20,4,60,6,22,130
192912,120,50,168,60,20,4,60,6,22,129
193001,120,50,168,59,20,4,60,6,22,128
193002,119,49,168,59,20,4,60,6,22,128
193003,119,49,167,59,20,4,60,5,22,128
193004,118,49,166,58,20,4,60,5,22,127
193005,118,49,165,58,20,4,60,5,22,127
193006,117,48,164,58,20,4,60,4,22,126
193007,117,53,196,59,27,4,70,5,23,143
193008,117,53,196,58,27,4,70,5,23,143
193009,117,53,196,57,27,4,70,5,23,143
193010,117,53,195,56,27,4,70,5,23,143
193011,117,52,195,56,27,4,70,5,23,143
193012,117,52,195,56,27,4,70,5,23,143
193101,117,52,194,56,27,4,70,5,23,142
193102,117,52,192,56,27,4,70,5,23,142
193103,116,52,192,56,27,4,70,5,23,141
193104,116,52,192,56,26,4,70,5,23,141
193105,116,51,192,56,26,4,70,5,23,141
193106,116,51,192,56,26,4,70,5,23,140
193107,119,51,204,57,26,4,72,6,23,141
193108,119,51,204,57,26,4,72,6,23,140
193109,119,51,204,57,26,4,72,6,22,140
193110,118,51,203,57,26,4,72,6,22,139
