,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,31.58,53.05,38.49,84.59,89.75,350.36,39.19,25.52,81.22,51.64
192608,32.00,61.05,40.17,83.49,92.30,353.27,39.13,25.80,86.81,52.59
192609,33.18,62.94,41.16,86.27,94.49,360.96,38.76,26.73,85.01,54.68
192610,33.32,65.75,41.39,82.94,93.38,364.16,38.77,26.87,86.41,54.59
192611,32.83,60.18,39.77,82.19,89.05,363.74,37.79,26.54,83.92,52.90
192612,34.77,58.76,41.25,81.69,93.02,369.65,40.02,27.81,86.70,54.15
192701,34.78,64.38,42.37,85.19,92.25,371.52,40.19,27.62,86.12,55.55
192702,35.20,63.63,42.21,86.11,91.14,378.52,39.06,28.85,84.41,56.71
192703,36.26,68.73,44.53,86.96,94.97,393.55,40.28,29.16,87.90,59.36
192704,36.94,69.66,44.88,81.29,95.58,500.46,40.05,29.40,87.84,60.27
192705,38.12,71.70,45.09,76.90,100.74,489.80,41.56,30.03,89.13,60.68
192706,41.12,74.97,47.65,80.21,107.82,506.18,42.49,31.08,97.00,64.37
192707,39.03,67.29,45.74,85.18,93.43,421.56,39.24,33.05,100.48,59.42
192708,40.84,75.92,51.52,87.49,104.79,437.31,43.00,36.12,105.48,62.78
192709,41.87,80.69,52.80,86.93,110.48,439.17,45.98,36.02,108.73,61.92
192710,43.79,85.09,55.06,89.49,111.14,462.04,49.36,37.99,117.36,64.42
192711,41.60,81.24,52.06,87.42,108.19,452.37,46.81,39.62,111.96,61.86
192712,44.33,84.82,57.39,90.69,119.56,465.15,52.09,40.86,118.67,64.42
192801,45.32,91.22,58.87,90.60,120.27,465.55,51.66,40.55,120.98,65.23
192802,45.51,88.04,58.40,88.78,119.76,466.92,51.10,41.46,127.73,64.41
192803,43.48,88.53,57.43,88.11,118.90,465.52,50.33,34.35,131.36,62.88
192804,45.09,112.70,61.82,92.54,141.29,468.84,54.50,37.75,139.70,66.38
192805,44.82,114.21,62.61,106.44,144.41,592.00,54.28,38.56,154.57,69.09
192806,45.12,119.28,64.64,100.33,147.42,631.15,57.52,41.86,156.50,68.88
192807,42.82,112.49,60.19,96.24,140.92,644.26,52.70,62.28,154.49,68.91
192808,43.48,115.79,61.25,97.14,141.81,636.03,55.47,63.68,152.09,68.49
192809,46.00,125.67,66.26,99.00,155.34,664.99,62.81,72.50,161.40,71.44
192810,46.30,135.35,68.82,104.02,155.57,657.74,62.84,71.51,167.22,71.65
192811,46.64,135.29,71.67,106.03,158.37,677.23,66.45,71.46,163.61,71.19
192812,49.80,139.75,80.62,123.60,189.05,722.45,76.41,74.61,199.02,77.97
192901,49.46,140.82,82.76,118.03,201.30,711.49,75.33,86.73,201.74,78.34
192902,51.04,142.50,91.71,108.91,222.35,806.64,72.30,89.60,227.83,82.52
192903,49.47,141.59,94.65,108.33,226.65,797.33,70.35,89.08,222.83,82.29
192904,46.93,138.71,92.47,119.60,235.97,823.33,66.65,87.52,215.35,80.13
192905,47.96,137.18,94.46,120.36,240.17,851.22,68.93,88.71,232.08,80.41
192906,46.06,115.26,84.78,113.11,240.64,776.59,62.87,81.19,242.71,80.46
192907,47.72,114.14,94.09,110.63,269.48,864.12,67.13,85.62,352.91,89.00
192908,49.15,110.52,97.94,110.65,294.37,982.32,67.72,87.74,384.67,94.64
192909,51.35,113.11,106.87,122.71,330.99,1090.20,72.81,89.94,417.99,100.84
192910,49.39,103.43,98.92,120.70,305.26,1067.01,68.73,83.30,426.04,94.72
192911,44.02,73.30,79.26,108.36,220.20,902.81,52.13,68.18,297.67,83.36
192912,40.48,59.62,67.62,100.88,177.53,817.32,45.45,62.27,253.18,75.44
193001,40.47,62.27,68.29,100.83,195.52,817.28,42.63,62.54,272.48,75.00
