,Mkt-RF
192607,2.96
192608,2.64
192609,0.36
192610,-3.24
192611,2.53
192612,2.62
192701,-0.06
192702,4.18
192703,0.13
192704,0.46
192705,5.44
192706,-2.34
192707,7.26
192708,1.97
192709,4.76
192710,-4.31
192711,6.58
192712,2.09
192801,-0.68
192802,-1.7
192803,8.81
192804,4.23
192805,1.52
192806,-4.85
192807,0.62
192808,6.68
192809,2.88
192810,1.33
192811,11.81
192812,0.36
192901,4.66
192902,-0.34
192903,-0.89
192904,1.43
192905,-6.39
192906,9.7
192907,4.46
192908,8.18
192909,-5.47
192910,-20.12
192911,-12.74
192912,1.33
193001,5.61
193002,2.5
193003,7.1
193004,-2.06
193005,-1.66
193006,-16.27
193007,4.12
193008,0.3
193009,-12.75
193010,-8.78
193011,-3.04
193012,-7.83
193101,6.24
193102,10.88
193103,-6.43
193104,-9.98
193105,-13.24
193106,13.9
193107,-6.62
193108,0.41
193109,-29.13
193110,8.04
193111,-9.08
193112,-13.53
193201,-1.58
193202,5.46
193203,-11.21
193204,-17.96
193205,-20.51
193206,-0.7
193207,33.84
193208,37.06
193209,-2.94
193210,-13.17
193211,-5.88
193212,4.4
193301,1.25
193302,-15.24
193303,3.29
193304,38.85
193305,21.43
193306,13.11
193307,-9.63
193308,12.05
193309,-10.65
193310,-8.36
193311,9.97
193312,1.83
193401,12.6
193402,-2.5
193403,0.09
193404,-1.79
193405,-7.25
193406,2.64
193407,-10.96
193408,5.58
193409,-0.23
193410,-1.66
193411,8.33
193412,0.36
193501,-3.45
193502,-1.94
193503,-3.68
193504,9.06
193505,3.47
193506,5.93
193507,7.51
193508,2.65
193509,2.63
193510,7.03
193511,4.88
193512,4.56
193601,6.89
193602,2.49
193603,0.99
193604,-8.14
193605,5.19
193606,2.4
193607,6.67
193608,0.99
193609,0.98
193610,7.12
193611,3.27
193612,0.21
193701,3.35
193702,1.09
193703,-0.27
193704,-7.36
193705,-0.83
193706,-4.21
193707,8.91
193708,-4.86
193709,-13.61
193710,-9.61
193711,-8.31
193712,-4.24
193801,0.49
193802,5.84
193803,-23.82
193804,14.51
193805,-3.83
193806,23.87
193807,7.34
193808,-2.67
193809,0.81
193810,7.8
193811,-1.72
193812,4.19
193901,-5.96
193902,3.51
193903,-11.99
193904,-0.18
193905,6.8
193906,-5.31
193907,10.24
193908,-6.68
193909,16.88
193910,-0.53
193911,-3.62
193912,3.03
194001,-2.41
194002,1.44
194003,2.05
194004,0.22
194005,-21.95
194006,6.67
194007,3.16
194008,2.19
194009,2.39
194010,3.02
194011,-1.61
194012,0.69
194101,-4.17
194102,-1.43
194103,0.84
194104,-5.46
194105,1.39
194106,5.83
194107,5.87
194108,-0.17
194109,-0.87
194110,-5.25
194111,-1.92
194112,-4.87
194201,0.79
194202,-2.46
194203,-6.58
194204,-4.37
194205,5.94
194206,2.69
194207,3.51
194208,1.8
194209,2.61
194210,6.82
194211,0.15
194212,5.12
194301,7.13
194302,6.15
194303,6.01
194304,0.81
194305,5.74
194306,1.82
194307,-4.77
194308,1.3
194309,2.4
194310,-1.15
194311,-5.91
194312,6.36
194401,1.74
194402,0.37
194403,2.46
194404,-1.69
194405,5.07
194406,5.49
194407,-1.49
194408,1.57
194409,0.01
194410,0.16
194411,1.71
194412,4.03
194501,2.01
194502,6.23
194503,-3.89
194504,7.8
194505,1.73
194506,0.39
194507,-2.17
194508,6.2
